Sequence,Volt
827,2.06E+01
828,2.06E+01
829,2.06E+01
830,2.18E+01
831,2.18E+01
832,2.18E+01
833,2.18E+01
834,2.30E+01
835,2.30E+01
836,2.28E+01
837,2.28E+01
838,2.16E+01
839,2.16E+01
840,2.16E+01
841,2.16E+01
842,2.06E+01
843,2.06E+01
844,2.06E+01
845,2.06E+01
846,2.00E+01
847,2.00E+01
848,2.00E+01
849,2.00E+01
850,2.00E+01
851,2.00E+01
852,2.00E+01
853,2.00E+01
854,2.00E+01
855,2.00E+01
856,2.00E+01
857,2.00E+01
858,2.00E+01
859,2.00E+01
860,2.02E+01
861,2.02E+01
862,2.00E+01
863,2.00E+01
864,2.00E+01
865,2.00E+01
866,2.00E+01
867,2.00E+01
868,2.00E+01
869,2.00E+01
870,2.00E+01
871,2.00E+01
872,2.02E+01
873,2.02E+01
874,2.02E+01
875,2.02E+01
876,2.02E+01
877,2.02E+01
878,1.98E+01
879,1.98E+01
880,1.98E+01
881,1.98E+01
882,1.96E+01
883,1.96E+01
884,1.96E+01
885,1.96E+01
886,1.98E+01
887,1.98E+01
888,1.98E+01
889,1.98E+01
890,1.96E+01
891,1.96E+01
892,1.96E+01
893,1.96E+01
894,2.00E+01
895,2.00E+01
896,2.00E+01
897,2.00E+01
898,2.02E+01
899,2.02E+01
900,2.02E+01
901,2.02E+01
902,2.04E+01
903,2.04E+01
904,2.04E+01
905,2.04E+01
906,1.96E+01
907,1.96E+01
908,1.96E+01
909,1.96E+01
910,1.96E+01
911,1.96E+01
912,1.96E+01
913,1.96E+01
914,2.54E+01
915,2.54E+01
916,2.54E+01
917,2.54E+01
918,2.22E+01
919,2.22E+01
920,2.22E+01
921,2.22E+01
922,1.96E+01
923,1.96E+01
924,1.96E+01
925,1.96E+01
926,1.96E+01
927,1.96E+01
928,1.96E+01
929,1.96E+01
930,1.96E+01
931,1.96E+01
932,1.96E+01
933,1.96E+01
934,1.98E+01
935,1.98E+01
936,1.98E+01
937,1.98E+01
938,1.98E+01
939,1.98E+01
940,1.98E+01
941,1.98E+01
942,2.02E+01
943,2.02E+01
944,2.04E+01
945,2.04E+01
946,2.16E+01
947,2.16E+01
948,2.16E+01
949,2.16E+01
950,2.26E+01
951,2.26E+01
952,2.26E+01
953,2.26E+01
954,2.10E+01
955,2.10E+01
956,2.10E+01
957,2.10E+01
958,2.00E+01
959,2.00E+01
960,2.00E+01
961,2.00E+01
962,2.00E+01
963,2.00E+01
964,1.98E+01
965,1.98E+01
966,1.96E+01
967,1.96E+01
968,1.96E+01
969,1.96E+01
970,1.94E+01
971,1.94E+01
972,1.94E+01
973,1.94E+01
974,1.96E+01
975,1.96E+01
976,1.96E+01
977,1.96E+01
978,1.98E+01
979,1.98E+01
980,1.98E+01
981,1.98E+01
982,2.02E+01
983,2.02E+01
984,2.02E+01
985,2.02E+01
986,2.00E+01
987,2.00E+01
988,2.00E+01
989,2.00E+01
990,2.00E+01
991,2.00E+01
992,2.00E+01
993,2.00E+01
994,2.00E+01
995,2.00E+01
996,2.00E+01
997,2.00E+01
998,2.00E+01
999,2.00E+01
1000,2.00E+01
1001,2.00E+01
1002,2.04E+01
1003,2.04E+01
1004,2.02E+01
1005,2.02E+01
1006,2.00E+01
